p_bar,h2o_frac_fuel,mdot_fuel,mdot_ox,mdot_ratio,strain_rate_max_1ps,residence_time_s,T_max_K,z_Tmax_m,n_grid_points,X_C2H4_peak,z_C2H4_peak_m,X_O2_peak,z_O2_peak_m,X_N2_peak,z_N2_peak_m,X_H2O_peak,z_H2O_peak_m,X_CO_peak,z_CO_peak_m,X_CO2_peak,z_CO2_peak_m,X_H2_peak,z_H2_peak_m,X_OH_peak,z_OH_peak_m,X_H_peak,z_H_peak_m,X_O_peak,z_O_peak_m,X_C2H2_peak,z_C2H2_peak_m,X_CH4_peak,z_CH4_peak_m,X_C3H3_peak,z_C3H3_peak_m,X_C4H2_peak,z_C4H2_peak_m,X_C4H4_peak,z_C4H4_peak_m,X_C6H6_peak,z_C6H6_peak_m,X_C6H5_peak,z_C6H5_peak_m,X_C7H8_peak,z_C7H8_peak_m,X_C10H8_peak,z_C10H8_peak_m,X_C10H7_peak,z_C10H7_peak_m,X_C12H8_peak,z_C12H8_peak_m,X_C12H10_peak,z_C12H10_peak_m,X_C14H10_peak,z_C14H10_peak_m,X_C16H10_peak,z_C16H10_peak_m,X_C18H10_peak,z_C18H10_peak_m,case_id
1.0,0.0,0.06,0.3,5.0,128.81540170009293,0.025224070355140342,2187.467880130377,0.006375,78,0.9632502378589594,0.0,0.20999999890028825,0.02,0.7899999957231542,0.02,0.13384505356551984,0.0065625,0.09109494139002186,0.00575,0.08635936690394076,0.00675,0.04884135652098147,0.005,0.008453911982387645,0.007,0.004099368650437718,0.006625,0.0030703898535879917,0.007125,0.04823102417318407,0.00475,0.0034465626014911965,0.00475,0.00029221558731015637,0.0055,0.0029481483102597543,0.005,0.0003465794017417393,0.00425,0.001075779157422998,0.0045,8.151883101197227e-07,0.005375,4.0670806982233785e-05,0.00425,8.880408290251654e-05,0.0045,8.016925551314875e-07,0.005625,8.751643024862344e-05,0.004625,,,2.8446396531551354e-05,0.00425,3.494601656221352e-05,0.0045,8.449360445944306e-05,0.004,P01.0bar_H2O00pct_mf0.060
1.0,0.0,0.1,0.3,2.9999999999999996,141.59519091862853,0.021982314578484676,2172.962892064386,0.0075625,63,0.9963488604379718,0.0,0.20999998949657972,0.02,0.789999968827214,0.02,0.1323347608592369,0.00775,0.09079933126765072,0.007,0.08705337266761495,0.007875,0.047663900167051604,0.00625,0.008127385744200502,0.00825,0.004220147246356741,0.0078125,0.003141283365267389,0.00825,0.047300183966224756,0.006,0.003437669638993229,0.006,0.0002926897573617093,0.006625,0.002891319726781699,0.00625,0.0003479568283292261,0.0055,0.0010698176856194905,0.00575,8.915673617879524e-07,0.006625,4.0899365006811e-05,0.0055,8.695211682071839e-05,0.00575,8.518290404849023e-07,0.006875,8.693588534678455e-05,0.005875,,,2.6935589102837874e-05,0.0055,3.431792341178169e-05,0.00575,7.99997211837173e-05,0.00525,P01.0bar_H2O00pct_mf0.100
1.0,0.0,0.14,0.3,2.142857142857143,154.48903096630738,0.0215116176788126,2175.044555256634,0.0085,92,0.999693743628524,0.0,0.2099999690053411,0.02,0.7899999176048981,0.02,0.1319154067571039,0.008625,0.09225766474463012,0.0079375,0.08610573775216132,0.00875,0.04777263295214653,0.00725,0.00849505404357283,0.009,0.004363867553445168,0.00875,0.003283196720085028,0.00925,0.04695000624390669,0.007,0.003452640659422019,0.007,0.00030576415577034,0.007625,0.002926980014311407,0.00725,0.00036377898171824737,0.006625,0.0010550866133852443,0.00675,9.80640684882312e-07,0.0075,4.292983039400721e-05,0.0064375,8.455644190787432e-05,0.00675,9.009392150357298e-07,0.00775,8.475944174797496e-05,0.006875,,,2.639222749424397e-05,0.0064375,3.325427033218355e-05,0.00675,7.870932566141867e-05,0.0063125,P01.0bar_H2O00pct_mf0.140
1.0,0.0,0.2,0.3,1.4999999999999998,171.85206016810207,0.02111162563462004,2166.916230506618,0.009625,105,0.9999902590890412,0.0,0.20999980836573973,0.02,0.7899996108411066,0.02,0.13121568963704325,0.0098125,0.09260814343832535,0.009125,0.08598405415979896,0.01,0.047473805428623554,0.0084375,0.008485920647813758,0.010125,0.004512786856946757,0.009875,0.003404457551382935,0.010375,0.04611173154773139,0.0083125,0.00345983231055823,0.00825,0.000311393400582579,0.00875,0.002875139028854825,0.0085,0.00037056626958814604,0.007875,0.001036450397195528,0.008,1.114746945111011e-06,0.00875,4.31760038608404e-05,0.00775,8.25909195006619e-05,0.008,9.602307124903708e-07,0.009,8.374975677082277e-05,0.008125,,,2.4850534796563314e-05,0.00775,3.261921335588322e-05,0.008125,7.39600043862262e-05,0.0075625,P01.0bar_H2O00pct_mf0.200
1.0,0.04,0.06,0.3,5.0,127.78623610813065,0.030036519287065938,2186.532998209579,0.006375,109,0.9273449662944959,0.0,0.20999999975945652,0.02,0.7899999990478426,0.02,0.13677977593596208,0.0065625,0.09069932279422245,0.00575,0.0860947862833985,0.00675,0.04897027203529178,0.005,0.008539277027484795,0.007,0.004134305238940958,0.006625,0.0030758892839209246,0.007125,0.04750833943853953,0.00475,0.0034408817788072893,0.00475,0.0002854181985686738,0.0055,0.0028464109402339646,0.005,0.0003293783679070209,0.00425,0.001017110037051669,0.0045,8.020964919186865e-07,0.005375,3.789983556983886e-05,0.00425,8.290560746873606e-05,0.0045,7.736184178956374e-07,0.005625,8.099024705261679e-05,0.004625,,,2.621157896511061e-05,0.00425,3.218635163256789e-05,0.0045,7.203839568481939e-05,0.004,P01.0bar_H2O04pct_mf0.060
1.0,0.04,0.1,0.3,2.9999999999999996,141.40712288408122,0.02473036162113868,2180.546181304603,0.0075625,109,0.9577723914925401,0.0,0.20999999827166213,0.02,0.7899999931742339,0.02,0.13590617182753773,0.0076875,0.0909815821672425,0.0069375,0.08603370853711216,0.007875,0.048193598964207614,0.0061875,0.008556962726380317,0.008125,0.0042341581273171855,0.0078125,0.003172610088782521,0.00825,0.047138994484844765,0.006,0.0034280259378582003,0.006,0.00029289904269590367,0.006625,0.002857110276022504,0.00625,0.0003327288068118392,0.005625,0.0010119065209283809,0.005625,8.910439391870689e-07,0.0065625,3.813013488205599e-05,0.005375,8.192878444126966e-05,0.00575,8.329039523463043e-07,0.00675,8.149508858999483e-05,0.005875,,,2.576690715427355e-05,0.005375,3.22717138043583e-05,0.0058125,7.188819301311142e-05,0.00525,P01.0bar_H2O04pct_mf0.100
1.0,0.04,0.14,0.3,2.142857142857143,153.30146870360477,0.022597758271403975,2172.28811317452,0.0085,109,0.9597554254172185,0.0,0.20999999045615061,0.02,0.7899999646112821,0.02,0.13468588465432174,0.008625,0.0913958162552725,0.0079375,0.08594278176788024,0.00875,0.04760021798922728,0.00725,0.008528912486660132,0.0090625,0.00434880073098545,0.00875,0.0032492922713067713,0.0091875,0.04612437606623932,0.007,0.003422570040727617,0.007,0.0002972870598849084,0.007625,0.00281872277455374,0.00725,0.0003442681965721636,0.006625,0.0009976685632947582,0.00675,9.576243846571327e-07,0.0075,3.9682769313580854e-05,0.0065,7.914473329634564e-05,0.00675,8.661387988078037e-07,0.00775,7.882241806869328e-05,0.006875,,,2.4357211216080153e-05,0.0064375,3.08744442235653e-05,0.006875,6.734846897486435e-05,0.0063125,P01.0bar_H2O04pct_mf0.140
1.0,0.04,0.2,0.3,1.4999999999999998,170.7556269053389,0.021281986474964026,2159.16465407194,0.0096875,109,0.9599931237239231,0.0,0.20999980051184539,0.02,0.7899995946018908,0.02,0.13389854125579817,0.0098125,0.09147908034093372,0.009125,0.08623587842681674,0.01,0.0471029868179089,0.0085,0.00845378863428739,0.010125,0.004482246268629629,0.009875,0.003355221163022144,0.010375,0.045023719752390015,0.0083125,0.003432311441963528,0.0083125,0.00030002646063089855,0.00875,0.002737951656528713,0.0085,0.00035502157078130505,0.0079375,0.0009750950511405408,0.008,1.097732082461863e-06,0.00875,4.0621458337477614e-05,0.00775,7.67042477315845e-05,0.008,9.226690076131886e-07,0.009,7.704415192742134e-05,0.0081875,,,2.26885544891074e-05,0.00775,2.9978266377719433e-05,0.008125,6.194307375499052e-05,0.0075625,P01.0bar_H2O04pct_mf0.200
1.0,0.08,0.06,0.3,5.0,126.62006568510287,0.03005142177600632,2178.613757634394,0.006375,109,0.8903004152751658,0.0,0.2099999997604204,0.02,0.789999999051649,0.02,0.1395166112670794,0.0065625,0.0894663177627383,0.00575,0.08630445127141108,0.00675,0.048505783404057166,0.005,0.008514000099094967,0.0069375,0.004107925606034305,0.006625,0.003027602481390879,0.007125,0.046358108683385156,0.00475,0.0034179747675983883,0.00475,0.00027359042818565874,0.0055,0.00270288500089979,0.005,0.0003138365851115368,0.00425,0.0009588941366509743,0.0045,7.875979771731164e-07,0.005375,3.561253263647264e-05,0.00425,7.71056532900287e-05,0.0045,7.392343896997167e-07,0.005625,7.461971059166319e-05,0.004625,,,2.3941944283908878e-05,0.00425,2.9546270111285686e-05,0.0045,6.02909611168433e-05,0.004,P01.0bar_H2O08pct_mf0.060
1.0,0.08,0.1,0.3,2.9999999999999996,140.26489810006433,0.02468888639728169,2172.386277368387,0.0075625,109,0.9180000409417772,0.0,0.20999999825896018,0.02,0.7899999931231609,0.02,0.13876028744283259,0.0076875,0.08973452920316385,0.0069375,0.08628244430181081,0.007875,0.047731656749179195,0.0061875,0.00852476481610346,0.008125,0.004198452050314901,0.0078125,0.0031206063138375377,0.00825,0.04595720556929721,0.006,0.003403817235789898,0.006,0.00028169049924801,0.006625,0.0027111129115050844,0.00625,0.00031768421128106213,0.005625,0.0009523647430436611,0.00575,8.773940592565647e-07,0.0065625,3.571138059982412e-05,0.005375,7.61207644697411e-05,0.00575,7.991914780914062e-07,0.00675,7.496571451952602e-05,0.005875,,,2.3436247205698207e-05,0.005375,2.961418035189636e-05,0.0058125,5.996993392769727e-05,0.00525,P01.0bar_H2O08pct_mf0.100
