z_m,T_K,u_m_per_s,rho_kg_per_m3,X_C2H4,X_O2,X_N2,X_H2O,X_CO,X_CO2,X_H2,X_OH,X_H,X_O,X_C2H2,X_CH4,X_C3H3,X_C4H2,X_C4H4,X_C6H6,X_C6H5,X_C7H8,X_C10H8,X_C10H7,X_C12H8,X_C14H10,X_C16H10,X_C18H10
0.0,300.0,0.09033857404428546,1.1069468503028992,0.9583212334680297,4.425713909192792e-11,0.00010175424179782741,0.039943429936173745,1.4230658991239847e-05,1.8570849534276594e-06,0.0016134733059494544,-2.78036530199523e-14,-1.614333421477085e-13,-1.3220411477625266e-14,3.0974692502183245e-06,9.002468037989021e-07,3.1298569687425386e-12,8.317058040929214e-09,5.067343644019766e-10,5.406971327051127e-10,-6.247758949730532e-14,7.801505729516068e-12,2.7152897606494904e-12,7.498017277694838e-18,1.0325549630963374e-12,1.2325910264990688e-13,5.665878644293874e-14,1.416571365094111e-13
0.0005,300.3863495722482,0.08904833104780284,1.1045075266913595,0.9570581311131786,1.4851608170415164e-10,0.00034043871264899443,0.039939733182164754,4.7921202074862e-05,7.880992297866615e-06,0.0025907815336857006,-1.1576795876527e-19,-3.842513553205892e-17,-2.2758294704015546e-19,1.2083224780376693e-05,2.9030006536723283e-06,1.532880593389583e-11,4.7030907882872466e-08,3.155554294586678e-09,3.798480254298179e-09,-3.639911213724388e-15,6.132520838005701e-11,2.5643087025980706e-11,6.619877975268929e-17,1.0671819177266407e-11,1.3361125121098077e-12,7.047763863482662e-13,1.7947104391479118e-12
0.001,301.7671139608984,0.08510292138865932,1.0978214673693965,0.9544688410090272,5.099343609470016e-10,0.0011277293495791094,0.04000778798161689,0.00015976193486333428,3.304655892811581e-05,0.004146279155671691,7.531133444688516e-20,1.1280411075015568e-18,1.6537237902775652e-22,4.660196496090301e-05,9.270234731885768e-06,7.404265419333502e-11,2.622990792822244e-07,1.937568754644222e-08,2.628869547507734e-08,-8.450993172891525e-17,4.693371623617058e-10,2.382818467293625e-10,6.647279699039566e-16,1.0864329330514006e-10,1.5240466162352992e-11,8.711708040709386e-12,2.233778071163097e-11
0.0015,306.4385643660702,0.07906499106227542,1.0785268582938687,0.9486241554418752,1.6601140012064375e-09,0.0036143655254610545,0.04034777004265218,0.0005151895239403872,0.0001332412185069352,0.006559972413631516,3.3698082629913262e-19,1.0377843080202135e-17,1.6428350380727014e-20,0.0001731126424782074,2.865580738950381e-05,3.4314630095483475e-10,1.3988768464997612e-06,1.1360042527499146e-07,1.7339829716815345e-07,8.795681102238441e-16,3.472865214624501e-09,2.1027147618777262e-09,5.056090771270247e-15,1.0495306834450132e-09,1.6576257420925106e-10,1.0209025715028329e-10,2.6332852152338884e-10
0.002,320.6128899836844,0.0721490161882717,1.0270925042659989,0.9348027662073928,5.012827085061833e-09,0.010830660325134259,0.04150220059289189,0.001552398120989548,0.0004960341459077042,0.010120540517375752,1.5773743500589075e-18,8.435893392852575e-17,6.542470016374468e-20,0.00059558382448647,8.286187299036362e-05,1.4640153557836084e-09,6.814935180664597e-06,6.067311268306857e-07,1.0380450936434457e-06,3.584562480418865e-15,2.32428573231915e-08,1.6725966943390154e-08,2.2033304498615937e-14,9.123172944780419e-09,1.6199229089048338e-09,1.073250468756215e-09,2.7843314865466627e-09
0.00225,336.3133739397343,0.06913386433355154,0.9767670087022315,0.921172876605602,8.678144172233356e-09,0.018671452661599468,0.04281495439769166,0.002684019885748337,0.0009698063492520738,0.012397993729245261,3.689394896733385e-18,3.283112615339898e-16,1.0821459499932612e-19,0.0011098858785176724,0.00013983280981577355,3.1318576274667155e-09,1.5806367122147536e-05,1.497364234981859e-06,2.771501263512466e-06,5.9599351983465756e-15,6.71968875373245e-08,5.4959953213580236e-08,3.915470867184046e-14,3.2079821163051856e-08,6.2426892709027964e-09,4.383693573772319e-09,1.1425366457931198e-08
0.0025,362.0204092023304,0.06684025227322368,0.9048460756562594,0.8996339758901418,1.4771165855855636e-08,0.03162053220069195,0.044979375173628065,0.0045575664967728805,0.0018672834895585432,0.01498816680783999,7.98924352944474e-18,1.220788385127665e-15,1.5710212144789903e-19,0.0020312258921042358,0.0002313480724126551,6.6425893354588374e-09,3.644406779735449e-05,3.6902972096896546e-06,7.427522361675528e-06,7.585657218426559e-15,1.961863113090281e-07,1.8412559136721596e-07,5.5971858554777905e-14,1.1559574597100399e-07,2.4825119553076642e-08,1.8555688377992837e-08,4.860324221447844e-08
0.00275,399.95284835841,0.0650844703948852,0.8165076391491859,0.8678528592564483,2.4127070467908756e-08,0.05126435639069209,0.04817902934120406,0.007403962507626026,0.003400479238205573,0.017811284055541037,1.5893168171576213e-17,4.050418556233859e-15,1.9657354395843372e-19,0.003525339457797349,0.0003663320948039612,1.3286144827778497e-08,7.840532559083238e-05,8.450418658101798e-06,1.8370430999733287e-05,7.489175631668136e-15,5.255351483614384e-07,5.603822474391388e-07,6.023437572455126e-14,3.764893653082625e-07,8.865221538277267e-08,7.024488191506752e-08,1.848534688454894e-07
0.003,450.6546416950495,0.06324674145915743,0.7223915551273155,0.8245198006608544,3.740197794612647e-08,0.07853315343753071,0.052433070588302925,0.011356700546146266,0.005748516942547813,0.02076383877500858,4.242522326433675e-17,1.2628818986438279e-14,2.234613587345504e-19,0.005707604962798785,0.0005485698765668581,2.4459381687694228e-08,0.0001532303018047459,1.7456595970064643e-05,4.057508443619596e-05,9.194129093875634e-15,1.246162988812174e-06,1.4883633528227147e-06,6.465882871822696e-14,1.0626283223136767e-06,2.7195578637027703e-07,2.2721427119183622e-07,6.004839710221326e-07
0.003125,480.7277483949963,0.06205535967041934,0.6761987611663156,0.7984166941442633,4.572437389119468e-08,0.09511582232401104,0.05491764604647475,0.013759547207609565,0.007271399001108245,0.02225594984283206,1.062734503481616e-16,2.165013864710158e-14,2.447555196845893e-19,0.007075508003980262,0.0006570961110619766,3.208779759758495e-08,0.0002072387354142424,2.4248349159998415e-05,5.819341971397607e-05,1.4000923091896789e-14,1.8515789779920709e-06,2.34304994567275e-06,8.089136096060868e-14,1.727277679317218e-06,4.624642913374257e-07,3.978932178680754e-07,1.0540708806533983e-06
0.00325,513.8195006937223,0.06055392202680199,0.6317753427512306,0.7694239041556105,5.5255643531903336e-08,0.11362944886086117,0.05760794617441908,0.016440623734215908,0.009039757969013518,0.02374378276342448,3.6875694297842576e-16,3.7262074902103904e-14,2.9293242812716957e-19,0.008628624182656124,0.0007765542085245588,4.122671979834223e-08,0.0002744281686650167,3.295060450781088e-05,8.154360642438513e-05,2.5292193565257147e-14,2.6862324898403446e-06,3.5996171380060977e-06,1.159804270033923e-13,2.7403887425011535e-06,7.681363233818525e-07,6.810437347398095e-07,1.8086128205316418e-06
0.003375,549.6769494039323,0.05863535480759086,0.589819509716593,0.7378469305089411,6.602800216617073e-08,0.1338803162552945,0.06046160314518164,0.019370916070301888,0.01103957342378073,0.025217599917021803,1.390893878995201e-15,6.611808194634742e-14,4.0931835513625933e-19,0.010349680247746998,0.0009055006279193207,5.190528890037154e-08,0.00035510831947443744,4.3678212277626505e-05,0.00011118656380871643,4.876542818819149e-14,3.7836447698517282e-06,5.348823729549512e-06,1.7662158582290215e-13,4.196976245506455e-06,1.2283497709244245e-06,1.1203655812143532e-06,2.9821929058103145e-06
0.0035,588.0506338301896,0.05620739847993247,0.5507144991705264,0.7040631131005478,7.80905865793761e-08,0.15562583307478103,0.06343517310721204,0.022514404034061034,0.013247830113409652,0.02666953963178915,4.191900395147932e-15,1.2421293652412505e-13,6.919113526003434e-19,0.012215758008118293,0.0010422789039382361,6.420156166123985e-08,0.0004489105639865705,5.64422802122225e-05,0.00014735781147681525,9.224049533987393e-14,5.164620809681784e-06,7.663063263522263e-06,2.51137387065279e-13,6.179822885618538e-06,1.881003447406983e-06,1.760289765037632e-06,4.6953288935883434e-06
0.0035625,608.1067188327534,0.05477757535915183,0.5322838089340585,0.6864843981706343,8.464698561915145e-08,0.1669675742189895,0.06495266414414227,0.024152595314576017,0.014420503922790076,0.02738517923335897,6.383261361430369e-15,1.7698985952109346e-13,9.760278474110517e-19,0.0131944025706703,0.0011130120242108194,7.104991067606581e-08,0.0005004557968002063,6.356781748216659e-05,0.00016789532880024004,1.2449420877357895e-13,5.965479515266129e-06,9.052626529943285e-06,2.771911602778527e-13,7.394500429535882e-06,2.292594799390701e-06,2.171661256595858e-06,5.79824757975786e-06
0.003625,628.723533877411,0.05319472178445576,0.514591034623655,0.6685042492314871,9.157132627533555e-08,0.17858522399801066,0.06648501227707673,0.025829655751451134,0.015634960314282877,0.028093116472946905,8.88793483006604e-15,2.6097542202511854e-13,1.4337962449579356e-18,0.01419988227197883,0.0011850707896250549,7.842439700252438e-08,0.0005549833902598473,7.118148299725746e-05,0.00019007432328580314,1.6708718650849559e-13,6.842107374007244e-06,1.0608075969930444e-05,2.907804914072944e-13,8.772016596350344e-06,2.7683354706833794e-06,2.6532058346491915e-06,7.090559584523849e-06
0.0036875,649.8719148731567,0.05145139036428398,0.49763389482187814,0.650180741437579,9.888402660898129e-08,0.19044078154362065,0.0680273851656439,0.027540032657320693,0.01688657057379292,0.028792803733604117,1.1725926244771988e-14,4.0042814872693883e-13,2.171733653278659e-18,0.015228452642839766,0.0012582268527969631,8.639958757671982e-08,0.0006122721639876267,7.925457510489471e-05,0.00021381901895753893,2.2438967175095204e-13,7.792262753885174e-06,1.2328856218316702e-05,2.923160250281465e-13,1.0314243807650526e-05,3.3103359817963934e-06,3.2082286248562746e-06,8.581340716182936e-06
